Paper,Conference,Edition,Year
Modeling and verification of randomized distributed real-time systems.,TSP ,20,2017
Aumentando a confiança nos resultados de testes de Sistemas Multi-threaded.,The Aging Symposium,20,2020
Feature-level sentiment analysis applied to brazilian portuguese reviews.,ECTIJ ,8,2022
Teaching individuals with autism spectrum disorder safe pedestrian skills using video modeling with in situ video prompting.,BDAP ,3,2022
Ensino-aprendizagem de BIM nos cursos de graduação em engenharia civil e o papel da expressão gráfica neste contexto.,IJDKP ,19,2022
Arquitetura de supervisão e controle de chão de fabrica baseada em componentes genericos.,IJITCS ,9,2018
Estudos de confiabilidade de manutenção em sistemas de expedição de produtos de mineração.,SEC ,18,2019
Uma arquitetura para controle de privacidade na web.,IJCSA ,5,2022
Enfrentamento do problema das divergências de tradução por um sistema de tradução automática: um exercício exploratório.,IJNSA ,15,2018
Development of intersubband THz lasers using multiple quantum well structures.,"IEEE SEAI--EI Compendex, Scopus",2,2019
Low cost accelerated simulation for application in nanoengineering materials.,NLPD ,8,2018
Soluções em personalização de conteúdo baseadas em classificadores simbólicos modais.,Asian Symposium on Medicinal Plants Spices and Other Natural Products,9,2018
Solving large stochastic planning problems using multiple dynamic abstractions.,International Conference on Information Systems Security and Privacy,8,2017
Adaptive visual servoing of robots in uncalibrated environments.,"ICCSM--Scopus, EI ",12,2023
Attentional selection in object recognition.,EI/Scopus--AEEGE ,17,2020
Displaying geographic information: Efficient methods for raster displays.,GreenCom ,1,2019
Predição não-linear de series temporais usando redes neurais RBF por decomposição em componentes principais.,GET ,9,2019
Implementation and modeling of a scheduled Optical Flow Switching (OFS) network.,AIS ,13,2022
Dielectrometry measurements of moisture diffusion and temperature dynamics in oil impregnated paper insulated electric power cables.,CMIT ,9,2020
Reference tree networks: virtual machine and implementation.,Fuzzy ,15,2020
Framework for requirements-driven system design automation.,DTMN ,9,2022
Preparing Florida faculty to teach online.,IJSEA ,11,2018
Achieving large stable vertical displacement in surface-micromachined microelectromechanical systems (MEMS).,CoNeCo ,8,2020
Demand-based coscheduling of parallel jobs on multiprogrammed multiprocessors.,SIGL ,19,2020
Scheduling problems in queueing systems with heavy-tailed trac.,dsaai ,13,2020
Development of a software for simulation and selection of drying equipments.,WBC ,20,2023
Alinhamento estratégico de tecnologia da informação no setor público: a oferta de serviços eletrônicos em secretarias de fazenda no brasil.,Native American Literature Symposium,13,2023
Sketching and streaming algorithms.,CSITEC ,14,2018
Inteligência competitiva na internet.,PBIJ ,5,2017
Key receiver circuits for digital beamforming in MMW imaging.,CoNeCo ,11,2019
Imaging of absolute electrical properties using electroquasistatic and magnetoquasistatic sensor arrays.,Demos@AIME ,1,2021
Processo de decisão de mídia.,IJGCA ,1,2021
A disseminação da produção científica da Universidade Federal da Bahia através da implantação do seu repositório institucional: uma política de acesso aberto.,CSC ,20,2019
Automatic simple term extraction based on machine learning.,CCSIT ,3,2023
Sistematizando o desenvolvimento de transformações modelo a modelo em uma abordagem dirigida a modelo.,ACM--AITC--Ei and Scopus ,6,2023
An environment for the development of virtual reality applications based on graphic clusters.,IEIJ ,20,2018
Seleção de features guiada por atenção visual em imagens com fóvea.,IJDKP ,12,2021
Wireless communication and localization systems under spatial and temporal channel variations.,ADCO ,13,2019
A compact integer programming approach to work-force scheduling: A study in flexibility.,SEC ,6,2017
Voice and Video over IEEE 802.11 wireless networks.,IJESA ,1,2020
An approach to conceptualize learning enterprises in the manufacturing sector.,CoNeCo ,5,2018
Manas: uma ferramenta EpistêMICA de Apoio ao Projeto da ComunicaçãO EM Sistemas colaborativos.,DMA ,19,2017
Modelo Multicritério para Seleção de Portfólio de Projetos de Sistemas de Informação.,International Conference on Web Services,6,2020
Études in non-interactive zero-knowledge.,"IEEE--CCAI--EI Compendex, Scopus ",10,2017
"Flutuações conceituais, percepções visuais e suas repercussões na representação informacional e documental da fotografia para formulação do conceito de Informação fotográfica digital.","IEEE--PRML--Ei, Scopus ",9,2022
Uma abordagem de recomendação sensível ao contexto para apoio a autenticação implícita em ambientes móveis e pervasivos baseado em conhecimento comportamental do usuário.,IJPS ,19,2018
Using Geographic Information System associated to mathematical models as a predictional tool in the study of hydrogeologic impact of dam reservoirs (A modelagem matemática associada ao Sistema de Informação Geográfica como instrumento de previsão no estudo do impacto hidrogeológico de reservatórios).,Geohorizon,6,2020
Abordagens para cubo de dados massivos com alta dimensionalidade baseadas em memória principal e memória externa: HIC e BCubing.,DMAP ,10,2023
Computer aided macromodeling for microelectromechanical systems.,"ACCC--Ei Compendex, Scopus ",10,2018
Um modelo para a extração de conceitos e estabelecimento de contextos em sistemas baseados em conhecimento.,IJP2P ,2,2020
SystEM-PLA: a systematic evaluation method for UML-based software product line architecture.,NEATCLasS ,14,2018
Predicting Melanoma Risk from Electronic Health Records with Machine Learning Techniques.,Comunica2,15,2018
Digitalizaçao de acervos fotográficos públicos e seus reflexos institucionais e sociais: tecnologia e consciência no universo digital.,"IEEE SEAI--EI Compendex, Scopus",1,2017
ArchC: uma linguagem de descrição de arquiteturas.,ICCCV--Ei and Scopus,4,2020
Study of near-infrared pumped solid-sate lasers and applications.,Text Speech and Dialogue,12,2018
Transgenética computacional aplicada a problemas de otimização combinatória com múltiplos objetivos.,CoNeCo ,4,2017
Virtual network embedding in software-defined networks.,International Conference on Sociolinguistics,18,2020
On the complexity of synchronization.,DMAP ,18,2019
Visão computacional rápida utilizando rede neural implementada em processamento paralelo.,IJSEA ,6,2018
Garden of literacies: awakeness raising and poetic networking in the cultural convergence.,PBIJ ,9,2022
The interaction of information and communication technologies in alignment with entrepreneurial best practices (A interação de tecnologias da informação e a comunicação no alinhamento das melhores práticas empresariais).,IJMNCT ,14,2021
SALVI - sala de aula virtual: contribuição para a comunicação sincrona em educação mediada por computador.,IEEE-Ei/Scopus-CTISC ,9,2019
Design guidelines for generating augmented reality instructions.,Games Learning & Society Conference,16,2017
Permutation-based data compression.,IJMIT ,16,2018
Machine learning on Web documents.,IJITMC ,6,2023
Polycrystalline Si thin films and devices: I. Seed selection through ion channeling II. Thin-film transistors.,ICCCV--Ei and Scopus,1,2022
Optical and optoelectronic fiber devices.,CCSIT ,14,2023
"Simulação computacional das propriedades eletrônicas, estruturais e mecânicas de nanotubos inorgânicos.",IJASA ,5,2018
Topic extraction based on association rule clustering.,International Congress of Americanists,15,2020
Programação genética aplicada à busca de imagens.,ACM--AITC--Ei and Scopus ,19,2020
"A decision rationale management system: capturing, reusing, and managing the reasons for decisions.",ICAIT ,11,2020
Metodos quase - Newton para resolução de sistemas não lineares esparsos e de grande porte.,Aarhus Symposium,7,2020
A method for automatic fusion of similar sentence in portuguese.,National Service Learning Conference,4,2019
PI-MT: método para a criação de transformações de modelos no contexto da MDA.,AIAD ,2,2023
Um arcabouço cognitivamente inspirado para representação de conhecimento e raciocínio.,MECHATROJ ,12,2023
QoS management of web services.,Native American Literature Symposium,15,2021
Liberdade de expressão na internet: desafios regulatórios e parâmetros de interpretação.,CBDA ,1,2019
Methodology to support environmental variables controls systems on greenhouses.,Association for Logic Language and Information,17,2022
Modelo de integração de um sistema de inteligência competitiva com um sistema de gestão da informação e de conhecimento.,The Science of Consciousness,2,2017
Machine Learning Methods to Understand Textual Data.,IEEE-Ei/Scopus-CTISC ,16,2023
Application workload prediction and placement in cloud computing systems.,International Congress of Actuaries,6,2022
Modified election methodology: A methodology for describing human beliefs.,NLPA ,3,2019
Local to global geometric methods in information theory.,"CCAT--Ei, Scopus ",11,2020
"Apropriação social da informação, cultura e tecnologia: software livre e políticas culturais no Brasil.","ICCCS--IEEE, Ei Compendex, Scopus ",7,2017
Visão computacional para veículos inteligentes usando câmeras embarcadas.,SPM ,1,2021
SAHGA - A spatially aware hybrid genetic algorithm for geospatial data analysis.,EAMM ,8,2021
Near infrared Raman spectroscopy for human artery histochemistry and histopathology.,AITIJ ,4,2023
A multilevel segmentation algorithm for polarimetric SAR images based on Wishart distribution.,EDU ,13,2021
The effect of amplitude compression on the intelligibility of speech for persons with sensorineural hearing loss.,ACIJ,3,2020
The impact of ion-host interactions on the 5d-to-4f spectra of lanthanide rare earth ions.,International Conference on Web Services,2,2018
Stable locomotion control of bipedal walking robots: synchronization with neural oscillators and switching control.,IJEL ,7,2020
"Pontos e linhas, pontes e retalhos: as experiências de implantação de tecnologias no domínio geográfico na vigilância vetorial para a dengue, em Recife e Santa Cruz do Capibaribe - PE.",IDC ,12,2019
