paper,keywords,topics
Navegação e controle de robôs móveis cooperativos: uma abordagem baseada em conectividade de grafos.,grafos.:abordagem,Operating Systems
Harmonic phase based low coherence interferometry: a method for studying the dynamics and structures of cells.,low:structures,Graphics
Mechanisms and interfaces for software-extended coherent shared memory.,coherent:shared,Information Retrieval
Sistemas baseados em conhecimento para projeto de plantas de cogeração a gás natural.,natural.:cogeração:projeto,Multimedia
Nonlinear Phenomena from a Reinjected Horseshoe.,reinjected:horseshoe.,Artificial Intelligence
Kerr electro-optic measurements and nonuniform electric field reconstructions.,field:nonuniform:kerr, Computational Geometry
Ground holding strategies for air traffic control under uncertainty.,ground:traffic,Computation and Language
Estudo experimental e numerico da tomografia eletrica aplicada a sistemas bifasicos.,aplicada:eletrica,Digital Libraries
"Synthesis, analysis, and processing of fractal signals.","fractal:analysis,",Symbolic Computation
Estudo numérico do processo de injeção em um túnel de vento transônico.,estudo:vento, Computational Geometry
Algoritmos genéticos para o problema de Docking proteína-ligante.,docking:genéticos:algoritmos,Multimedia
"Technology and fifth grade teaching: a study of teacher reported classroom practice, professional development, access, and support.","development,:support.:professional",Computer Science and Game Theory
Contraponto hipermídia: uma proposta de inter-relação de linguagens.,inter-relação:linguagens.,Formal Languages and Automata Theory
Prior information for brain parcellation.,information:prior,Discrete Mathematics
Machine learning and coresets for automated real-time data segmentation and summarization.,data:real-time,Networking and Internet Architecture
Fine-grained cryptography.,fine-grained, Computational Geometry
Developing attribute acquisition strategies in spoken dialogue systems via user simulation.,user:simulation.:dialogue,Multiagent Systems
Using geometric constraint approach to support electri- cal installation design.,constraint:support,Multimedia
Interpolação de vistas em video utilizando malhas 3D adaptativas.,interpolação:utilizando,Discrete Mathematics
Distributed photomixers.,distributed,Formal Languages and Automata Theory
Antecipando a usabilidade nas fases iniciais do processo de desenvolvimento de software.,fases:processo:antecipando,Artificial Intelligence
Techniques and devices for high-resolution adaptive optics.,high-resolution:devices:optics.,Data Structures and Algorithms
Logic knowledge base refinement using unlabeled or limited labeled data.,knowledge:limited:unlabeled,Performance
Fracture and Fatigue Behavior of Geosynthetic Reinforced Asphalt Concrete for Pavement Overlays.,concrete:overlays.,Formal Languages and Automata Theory
Membrane technology for the fabrication of three-dimensional photonic crystals.,three-dimensional:crystals.,Sound
"The scientific dissemination blogs: information, news, dissemination.","news,:information,:blogs:",Programming Languages
Model for study of ambience in animal facilities with use of computational fluid dynamics (CFD).,study:use:dynamics,Mathematical Software
The study of electron transport in field-effect-induced quantum wells on GaAs/GaAlAs.,field-effect-induced:wells,Networking and Internet Architecture
Um sistema hibrido simbolico-conexionista para o processamento de papeis tematicos.,sistema:processamento,Artificial Intelligence
Compiling for parallel multithreaded computation on symmetric multiprocessors.,computation:compiling,Computer Science and Game Theory
"Correspondentes bancários como canal de distribuição de serviços financeiros: taxonomia, histórico, limites e pontencialidades dos modelos de gestão de redes.","histórico,:modelos:distribuição",Robotics
Simulação computacional de descargas atmosfericas em estruturas de proteção visando analises de compatibilidade eletromagnetica.,visando:compatibilidade:computacional,Distributed Parallel and Cluster Computing
Projeto de sistemas de produção na construção civil utilizando simulação computacional como ferramenta de apoio à tomada de decisão.,construção:simulação,Digital Libraries
Uma jornada pelas trilhas de um processo reflexivo online para coordenadores.,trilhas:jornada:reflexivo,Machine Learning
Development of a silicon VLSI optically addressed liquid crystal smart spatial light modulator.,spatial:vlsi,Multiagent Systems
Conformação de regime de informação: a experiência do arranjo produtivo local de eletrônica de Santa Rita do Sapucaí - MG.,informação::arranjo,Sound
Spatio-temporal data fusion in cerebral angiography.,data:fusion,Mathematical Software
A Multi-Strategy Tableau Prover.,tableau:multi-strategy,Computation and Language
Modelagem computacional e calibração da condutividade hidráulica horizontal em aqüífero da Bacia Sedimentar do Araripe utilizando o método iterativo do gradiente hidráulico.,utilizando:araripe:computacional,Hardware Architecture
Gamificação na produção colaborativa de conhecimento e informação.,informação.:produção:gamificação,Human-Computer Interaction
A study of the effectiveness of public library service to young adults.,effectiveness:study:public,Cryptography and Security
Eye movement studies with a vestibular prosthesis.,studies:prosthesis.:eye,Computers and Society
Gênese instrumental na interação com Cabri 3D: um estudo de transformações geométricas no espaço.,instrumental:transformações,Computational Engineering Finance and Science
Decison support system for agricultural land use management.,use:support:system,Graphics
Cognitive-developmental learning for a humanoid robot: a caregiver's gift.,caregiver's:humanoid,Information Theory
Electrical characterization of leukocyte activation for monitoring sepsis progression using dielectrophoresis.,dielectrophoresis.:progression:using,Machine Learning
"Curriculum, technologies and robotics in basics education (Currículo, tecnologias e robótica na educação básica).",robotics:básica).,Computer Science and Game Theory
SICOF: sistema de informação distribuido para controle de licenças e outorgas de direito de uso de recursos hidricos.,outorgas:uso:direito,Computer Vision and Pattern Recognition
A verification framework for hybrid systems.,framework:verification,Graphics
Sciences Parks and Urban Centralities: The Tecnopuc in the Metropolitain Area of Porto Alegre.,centralities::metropolitain,Other Computer Science
Large Eddy and RANS simulations of flows with adverse pressure gradients.,simulations:large:pressure,Symbolic Computation
HyperVoice-groupware by telephone.,telephone.,Logic in Computer Science
Ferrofluid surface and volume flows in uniform rotating magnetic fields.,fields.:magnetic:volume,Computational Engineering Finance and Science
Decentralized detection in resource-limited sensor network architectures.,architectures.:detection,Computer Vision and Pattern Recognition
Linear dynamical systems with abstract state-spaces.,systems:dynamical:abstract,Computational Complexity
